 Hrishikesh:2, Jeevitesh:1, Manish:2, Thayanitha:0, Muhilan:14, Total:19, Time Stamp:2022-06-30 11:02:57.949799
-------------------------------------EXISTING SESSION ENDS HERE-------------------------------------------------------
 Hrishikesh:0, Jeevitesh:0, Manish:1, Thayanitha:0, Muhilan:0, Total:1, Time Stamp:2022-06-30 11:07:06.572273
 Hrishikesh:0, Jeevitesh:1, Manish:1, Thayanitha:0, Muhilan:0, Total:2, Time Stamp:2022-06-30 11:07:39.133300
 Hrishikesh:0, Jeevitesh:2, Manish:1, Thayanitha:0, Muhilan:0, Total:3, Time Stamp:2022-06-30 11:07:53.190323
 Hrishikesh:0, Jeevitesh:3, Manish:1, Thayanitha:0, Muhilan:0, Total:4, Time Stamp:2022-06-30 11:08:19.674195
 Hrishikesh:0, Jeevitesh:3, Manish:2, Thayanitha:0, Muhilan:0, Total:5, Time Stamp:2022-06-30 11:08:31.322890
 Hrishikesh:0, Jeevitesh:4, Manish:2, Thayanitha:0, Muhilan:0, Total:6, Time Stamp:2022-06-30 11:08:59.725317
 Hrishikesh:0, Jeevitesh:5, Manish:2, Thayanitha:0, Muhilan:0, Total:7, Time Stamp:2022-06-30 11:09:27.615934
 Hrishikesh:0, Jeevitesh:5, Manish:2, Thayanitha:0, Muhilan:1, Total:8, Time Stamp:2022-06-30 11:09:52.428900
 Hrishikesh:0, Jeevitesh:5, Manish:2, Thayanitha:0, Muhilan:2, Total:9, Time Stamp:2022-06-30 11:10:11.597169
 Hrishikesh:0, Jeevitesh:5, Manish:2, Thayanitha:0, Muhilan:3, Total:10, Time Stamp:2022-06-30 11:10:30.201910
 Hrishikesh:0, Jeevitesh:6, Manish:2, Thayanitha:0, Muhilan:3, Total:11, Time Stamp:2022-06-30 11:11:02.613865
 Hrishikesh:1, Jeevitesh:6, Manish:2, Thayanitha:0, Muhilan:3, Total:12, Time Stamp:2022-06-30 11:11:15.216118
 Hrishikesh:1, Jeevitesh:7, Manish:2, Thayanitha:0, Muhilan:3, Total:13, Time Stamp:2022-06-30 11:11:31.762233
 Hrishikesh:2, Jeevitesh:7, Manish:2, Thayanitha:0, Muhilan:3, Total:14, Time Stamp:2022-06-30 11:12:14.590281
 Hrishikesh:3, Jeevitesh:7, Manish:2, Thayanitha:0, Muhilan:3, Total:15, Time Stamp:2022-06-30 11:12:44.704925
 Hrishikesh:3, Jeevitesh:8, Manish:2, Thayanitha:0, Muhilan:3, Total:16, Time Stamp:2022-06-30 11:13:09.325868
 Hrishikesh:4, Jeevitesh:8, Manish:2, Thayanitha:0, Muhilan:3, Total:17, Time Stamp:2022-06-30 11:13:50.399863
 Hrishikesh:4, Jeevitesh:8, Manish:2, Thayanitha:0, Muhilan:4, Total:18, Time Stamp:2022-06-30 11:14:17.637092
 Hrishikesh:4, Jeevitesh:9, Manish:2, Thayanitha:0, Muhilan:4, Total:19, Time Stamp:2022-06-30 11:14:32.348128
 Hrishikesh:4, Jeevitesh:9, Manish:3, Thayanitha:0, Muhilan:4, Total:20, Time Stamp:2022-06-30 11:14:53.697773
-------------------------------------EXISTING SESSION ENDS HERE-------------------------------------------------------
 Hrishikesh:0, Jeevitesh:0, Manish:0, Thayanitha:1, Muhilan:0, Total:1, Time Stamp:2022-06-30 11:19:55.310373
 Hrishikesh:0, Jeevitesh:1, Manish:0, Thayanitha:1, Muhilan:0, Total:2, Time Stamp:2022-06-30 11:20:08.555213
 Hrishikesh:0, Jeevitesh:1, Manish:0, Thayanitha:1, Muhilan:1, Total:3, Time Stamp:2022-06-30 11:20:33.074593
 Hrishikesh:0, Jeevitesh:2, Manish:0, Thayanitha:1, Muhilan:1, Total:4, Time Stamp:2022-06-30 11:20:48.225206
 Hrishikesh:0, Jeevitesh:3, Manish:0, Thayanitha:1, Muhilan:1, Total:5, Time Stamp:2022-06-30 11:21:03.109868
 Hrishikesh:0, Jeevitesh:4, Manish:0, Thayanitha:1, Muhilan:1, Total:6, Time Stamp:2022-06-30 11:21:18.011375
 Hrishikesh:0, Jeevitesh:5, Manish:0, Thayanitha:1, Muhilan:1, Total:7, Time Stamp:2022-06-30 11:21:31.658661
 Hrishikesh:0, Jeevitesh:6, Manish:0, Thayanitha:1, Muhilan:1, Total:8, Time Stamp:2022-06-30 11:21:48.203830
 Hrishikesh:0, Jeevitesh:7, Manish:0, Thayanitha:1, Muhilan:1, Total:9, Time Stamp:2022-06-30 11:22:22.022206
 Hrishikesh:0, Jeevitesh:7, Manish:0, Thayanitha:2, Muhilan:1, Total:10, Time Stamp:2022-06-30 11:23:07.827975
 Hrishikesh:0, Jeevitesh:7, Manish:0, Thayanitha:3, Muhilan:1, Total:11, Time Stamp:2022-06-30 11:23:28.174571
 Hrishikesh:0, Jeevitesh:8, Manish:0, Thayanitha:3, Muhilan:1, Total:12, Time Stamp:2022-06-30 11:23:39.288956
 Hrishikesh:0, Jeevitesh:8, Manish:1, Thayanitha:3, Muhilan:1, Total:13, Time Stamp:2022-06-30 11:24:24.330796
 Hrishikesh:0, Jeevitesh:8, Manish:2, Thayanitha:3, Muhilan:1, Total:14, Time Stamp:2022-06-30 11:24:40.670646
 Hrishikesh:0, Jeevitesh:8, Manish:3, Thayanitha:3, Muhilan:1, Total:15, Time Stamp:2022-06-30 11:24:57.809441
 Hrishikesh:0, Jeevitesh:9, Manish:3, Thayanitha:3, Muhilan:1, Total:16, Time Stamp:2022-06-30 11:25:52.462249
 Hrishikesh:0, Jeevitesh:9, Manish:4, Thayanitha:3, Muhilan:1, Total:17, Time Stamp:2022-06-30 11:26:36.621411
 Hrishikesh:0, Jeevitesh:10, Manish:4, Thayanitha:3, Muhilan:1, Total:18, Time Stamp:2022-06-30 11:27:05.341924
 Hrishikesh:0, Jeevitesh:10, Manish:5, Thayanitha:3, Muhilan:1, Total:19, Time Stamp:2022-06-30 11:27:38.300637
 Hrishikesh:0, Jeevitesh:11, Manish:5, Thayanitha:3, Muhilan:1, Total:20, Time Stamp:2022-06-30 11:27:51.807527
 Hrishikesh:0, Jeevitesh:11, Manish:5, Thayanitha:3, Muhilan:2, Total:21, Time Stamp:2022-06-30 11:28:05.722415
-------------------------------------EXISTING SESSION ENDS HERE-------------------------------------------------------
 Hrishikesh:0, Jeevitesh:0, Manish:0, Thayanitha:0, Muhilan:1, Total:1, Time Stamp:2022-06-30 11:32:59.033914
 Hrishikesh:1, Jeevitesh:0, Manish:0, Thayanitha:0, Muhilan:1, Total:2, Time Stamp:2022-06-30 11:33:13.152899
